First Name,Last Name,Employee ID,Manager Name,Join Date,Date of Birth,Age,Salary,Department Name
Sandra,Graham,167564513,Mr. Jeremy Taylor,1975-07-04,1960-01-09,43,129612,Television camera operator
Kevin,Hardy,867586,Brenda Martinez,1997-11-01,1968-02-27,53,119829,Best boy
Maria,Ortiz,4,Russell Oconnor,1972-02-10,1975-03-24,61,135418,Customer service manager
Chris,Berry,766,Willie Velez,1979-04-03,1958-11-22,65,50447,"Loss adjuster, chartered"
Jason,Brown,16866851,Cody Weaver,1986-03-10,1976-12-20,45,91700,"Surveyor, minerals"
Lisa,Casey,839307175,Mrs. Paige Sims PhD,1971-01-05,1989-10-15,53,93611,"Administrator, sports"
Roberta,Mcintosh,5,Yesenia Rodriguez,1989-02-24,1987-01-12,43,89974,Fine artist
Ronald,Khan,2209,Barbara Fletcher,1981-10-09,1988-02-06,26,141480,"Therapist, music"
Kim,Stephens,492720,George Cook,1974-03-10,1979-04-02,32,93844,Architectural technologist
Crystal,Copeland,6,Miguel Smith,1978-06-23,1995-03-15,46,102614,Advice worker
April,Herrera,1872568,Ariana Floyd,1973-03-28,1972-11-05,26,56210,Archaeologist
Ashley,Briggs,82488684,Rachel Bonilla,1987-07-21,1976-11-17,58,130569,Equities trader
Susan,Page,506,Rhonda Decker,1999-02-25,1981-08-05,64,38438,Newspaper journalist
Michael,Young,84650,Pamela Marsh,2001-08-22,1959-10-25,39,81677,Theme park manager
Loretta,Williams,36949468,Cindy Thompson,1993-12-24,1982-08-23,22,111813,Art therapist
Julia,Graham,83356,Michael Snyder,1984-03-23,1987-10-24,23,34996,Clinical embryologist
Susan,Morales,24062636,Gloria Davis,1996-09-30,1990-03-16,44,125490,Mining engineer
Xavier,Martin,75,Christina Robinson,1991-01-24,1984-03-29,27,104452,Academic librarian
Matthew,Myers,912764,Kara Smith,1969-06-14,1983-08-15,28,101054,Prison officer
Michelle,Brown,923,Annette Cabrera,2001-08-03,1997-08-02,43,104253,Purchasing manager
Steven,Sparks,3,Jesus Stanley,1995-06-20,1988-10-30,38,33045,"Programmer, applications"
Bailey,Scott,415,Tammy Craig,1962-06-23,1999-01-08,29,129166,Operational researcher
Rhonda,Noble,95184271,John Murphy,1968-05-05,2001-06-13,34,95410,Educational psychologist
Richard,Kaiser,712,Donald Jones,1960-09-28,1971-08-16,52,131999,"Nurse, children's"
Juan,Santiago,801,William Blackwell MD,1995-10-25,1959-09-20,24,81890,"Producer, television/film/video"
Gregory,Solis,926550,Christopher Burton,1977-06-04,1967-09-05,27,71232,Medical sales representative
Sharon,Williams,2479,Elizabeth Taylor,1978-04-28,1974-12-16,48,69559,Private music teacher
Matthew,Ford,9724453,Stephanie Warner,1986-07-29,1983-09-06,22,47952,Oceanographer
David,Thompson,692814728,Robyn Ortiz,1988-08-19,1971-07-04,57,50999,"Chemist, analytical"
George,Morgan,1871,Lauren Kelly,1986-10-25,2000-04-01,64,106386,Editorial assistant
Matthew,Weaver,26655977,William Harrison,2001-01-04,1973-03-03,56,134085,"Engineer, communications"
Cynthia,Middleton,76617,Mark Arnold,1998-07-24,1994-10-04,37,79335,"Nurse, children's"
Ronald,Washington,885256560,David French,1987-04-03,2001-07-05,50,146556,Manufacturing engineer
Michael,Rivera,297223465,Robert Singh,1963-02-09,1962-01-28,48,108321,Clothing/textile technologist
Nicholas,Zimmerman,254312,Raymond Perez,1971-04-04,1970-05-26,23,143244,Diagnostic radiographer
Morgan,Sutton,575860,Aaron Montes,1993-07-02,1980-07-20,26,63515,Financial adviser
Robert,Gay,757981,Lisa Ward,1982-07-27,1968-12-26,44,114936,Nutritional therapist
Ashley,Newman,776,Joseph Porter,1981-01-25,1990-01-11,57,62233,Camera operator
Glenda,Smith,2648535,Austin House,1967-06-11,1974-06-30,33,39984,Occupational psychologist
Brandon,Jenkins,421,Jennifer Diaz,1973-03-24,1958-10-25,62,88985,"Engineer, structural"
Rachel,Fischer,3462,Michael Bautista,1971-05-13,1998-07-10,54,106122,Scientific laboratory technician
Deborah,Proctor,303,Sandra White,1962-04-25,1960-01-25,53,137517,"Investment banker, operational"
Ashley,Sims,2,Jesse Gonzalez,1995-11-16,1974-06-05,28,83838,Product designer
Karen,Barrera,2650,John Brown,1987-09-17,1981-01-07,41,64188,Dramatherapist
Douglas,Ruiz,98,Nicole Humphrey,1988-09-22,1959-02-15,31,48438,Jewellery designer
Michael,Mendoza,286970,Nathan Walters,1958-08-14,1990-12-31,28,89941,Chartered public finance accountant
Jessica,Ortiz,6398,Justin Perry,1972-01-02,1960-11-19,49,149549,"Psychologist, forensic"
Melissa,Taylor,62665,Brittany Miller,2001-05-25,1999-12-28,58,53623,Patent examiner
Ryan,Ramirez,57133500,Jacqueline White,1959-04-21,1993-05-14,58,98215,Public affairs consultant
Paul,Morris,2270934,Evelyn Young,1965-04-13,2001-02-07,64,124371,Music therapist
William,Bradshaw,7670,Caleb Harrison,1962-02-18,1960-12-14,43,45754,Agricultural engineer
Daniel,Scott,6412004,Hannah Rojas,1973-02-18,1974-09-28,32,117316,"Engineer, production"
Stephanie,Young,338,Chris Brown,1988-02-08,1974-01-25,43,88909,Clinical biochemist
Veronica,Sanchez,82,Rhonda Yates,1972-03-25,1987-08-19,36,51840,Volunteer coordinator
Stephen,Schmidt,768614487,Stephen Taylor,1970-02-07,1976-03-18,29,144643,Financial trader
David,Potter,582604,Sharon Castaneda,1989-07-29,1988-04-17,49,102266,Chief Financial Officer
Ronnie,Gaines,695616933,Michael Rodriguez,1981-01-17,1978-06-03,56,145030,"Teacher, special educational needs"
Brian,Smith,41725,Melissa Mason,1987-11-15,1990-02-06,46,144767,Financial risk analyst
Ashley,Bryan,24,Sharon Forbes,1986-08-07,1982-06-21,65,104893,Dentist
Jeffrey,Bass,53383,Christina Park,1984-03-02,1974-09-24,41,128085,Arts administrator
Katherine,Howard,29741260,Nathan Adams,1960-10-01,2000-06-23,47,65533,Clothing/textile technologist
Andrew,Brown,14593,Alec Henderson,1978-04-05,1991-04-27,34,33152,Event organiser
Nicole,Campbell,448856988,David Smith,1987-03-23,1974-04-04,31,60117,Amenity horticulturist
Susan,Curry,8539754,Christine Walton,1987-07-09,1984-01-02,41,93468,Museum/gallery exhibitions officer
Brianna,Smith,6167951,Lisa Dunlap,1985-10-01,1991-02-21,61,69473,Systems developer
Stanley,White,691333,Krista Tyler,1979-11-20,1970-12-17,61,100018,Field seismologist
Joe,Thomas,653,Teresa Booth,1972-07-02,1982-02-14,48,49214,Publishing copy
Robin,Allen,0,Brianna Eaton,1967-11-18,1959-08-26,33,101601,Computer games developer
Kevin,Ramirez,5898,Nancy Hodges,1983-07-25,1983-10-10,55,90523,Set designer
Sherry,Padilla,405475980,Stephen Roberts,1982-02-01,2000-02-12,28,128257,Teaching laboratory technician
Robert,Dominguez,812,Michael Weber,2001-04-24,1965-03-15,26,43896,Charity officer
Robert,Duke,5468735,Megan White,1961-02-08,1987-12-07,52,72863,Corporate investment banker
Gregory,Carroll,29,Benjamin Lopez,1992-08-21,1987-10-13,56,38188,Early years teacher
Anthony,Castro,9,Barbara Hunter,1959-12-07,1980-08-05,39,106215,Statistician
Heather,Taylor,579,Jeffrey Garrison,1965-11-22,1985-02-07,62,75081,"Exhibitions officer, museum/gallery"
Marissa,Weber,692678,Edwin Stewart,1969-03-29,1967-03-09,36,106744,Operational researcher
Denise,Gordon,585016,Michael Rodriguez,1972-10-14,1982-03-30,38,127542,Statistician
Susan,Meyer,488775811,Jason Hayes,2001-07-05,1972-07-29,50,141698,"Clinical scientist, histocompatibility and immunogenetics"
Timothy,Bowers,8,Dawn Stewart,1998-04-13,1989-01-05,50,59654,"Producer, radio"
Gina,Baker,57530,Ryan Henry,1965-07-18,1985-06-28,58,91178,"Teacher, adult education"
Caleb,Ochoa,169,Maria Davis,2000-11-28,1990-11-01,33,140658,Biomedical engineer
Christine,Estrada,9466,Andrew Clayton,1976-02-08,1991-03-11,22,146280,Counselling psychologist
Natalie,Ramos,58,James Miller,1983-01-04,1975-02-01,40,68852,Hydrogeologist
Tina,Rodriguez,6613132,James Montes,1990-06-20,1982-10-05,46,57087,"Surveyor, mining"
James,Weaver,55096,Ms. Teresa Holland,1968-10-13,1957-10-20,38,38508,Personal assistant
Jacob,Davis,80183,Brandi Williams,1983-08-11,1963-04-11,60,77759,"Editor, commissioning"
Todd,Brooks,8847568,Kelly Smith,1995-06-24,1997-02-27,53,106113,"Accountant, chartered"
Sara,Santiago,488,Maurice Lozano,1987-03-29,1998-09-29,35,100796,Public librarian
Jerry,Carr,37,Tyler Bond,1989-09-23,1990-02-19,47,131938,Chartered accountant
Julia,Clark,6316,Jeremy Davis,1958-10-24,1996-10-21,34,138593,Merchant navy officer
Rebecca,Decker,66,Tony Maxwell,1987-08-10,1989-05-06,36,124823,Financial manager
Troy,Gray,48557724,Audrey Nixon,1972-08-26,1987-02-11,29,121376,"Lecturer, further education"
Laura,Bishop,3617395,Justin Wright,1976-08-28,1994-05-30,48,103672,Community pharmacist
Michael,Diaz,97586908,Dr. Leonard Fuller,1985-05-14,1976-02-02,55,107038,Pension scheme manager
Reginald,Brandt,427289,Emma Rivera,1982-04-22,1963-03-15,49,73971,"Physicist, medical"
Maria,Berger,380,Traci Gallegos,1974-03-03,1984-05-28,59,52345,"Engineer, technical sales"
Michael,Fisher,4195,David Young,1982-03-13,1969-02-23,59,85534,"Engineer, technical sales"
Jack,Sellers,79,Tom Smith,1994-08-27,1974-08-28,45,94903,"Surveyor, minerals"
Gail,Mendez,7207,Jerry Morgan,1997-06-10,1966-03-05,56,86521,Art gallery manager
David,Daniel,68101610,Charles Thompson,1974-08-21,1991-08-26,39,67165,"Conservation officer, nature"
